Code du domaine fonctionnel;Intitulé du domaine fonctionnel;Désignation du domaine fonctionnel Niv 1;Désignation du groupe de domaine fonctionnel ;Remarque ;Description;;;;;;
115INAPP;INFO DVPT APPLICAT;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Développement d'applications informatiques;;;;;;
115INASS;INFO ASSIST AUX USAGERS;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Assistance aux usagers;;;;;;
115INCAB;INFO CABLAGE INFORMATIQUE;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Cablâge informatique;;;;;;
115INLOG;INFO LICENCES INFORM;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Licences informatiques;;;;;;
115INMINF;INFO MAINTENANCE INFRASTR;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Maintenance des infrastructures;;;;;;
115INMLOG;INFO MAINTENANCE LOGICIEL;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Maintenance logicielles;;;;;;
115INPOS;INFO MAT POSTES DE TRAVAI;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Postes de travail informatiques pour l'administration;;;;;;
115INRES;INFO INFRAST RESEAUX;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Infrastructures Réseaux;;;;;;
115INSEC;INFO SECURITE SYSTEMES;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Sécurité des systèmes;;;;;;
115INSST;INFO SERVEURS ET STOCKAGE;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Serveurs et stockage;;;;;;
115TEL;TELEPHONIE;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Téléphonie;;;;;;
;;;;;;;;;;;
115MOB;RH MOBILITE DES PERS;GPEDFUDS;Groupe 115 Ressources Humaines;Exécution;Favoriser et soutenir la mobilité des personnels;;;;;;
115POLS;POLITIQUE SOCIALE;GPEDFUDS;Groupe 115 Ressources Humaines;Exécution;Favoriser la politique sociale de l'UDS (restauration, médecine du travail..);;;;;;
115RH;GESTION RH;GPEDFUDS;Groupe 115 Ressources Humaines;Exécution;Aministration et fonctionnement des services de ressources humaines;;;;;;
115FCRH;ACT FORM CONT PERSONNEL;GPEDFUDS;Groupe 115 Ressources Humaines;Exécution;Favoriser et soutenir les actions de formation continue du personnel de l'UdS;;;;;;
;;;;;;;;;;;
115RIADM;ADM SERVICES RI;GPEDFUDS;Groupe 115 Relations internationales;Exécution;Administration et fonctionnement des services de relations internationales;;;;;;
115RICOM;COMM EVT RI;GPEDFUDS;Groupe 115 Relations internationales;Exécution;Organiser les actions de communication et d'évenementiel des relations internationales;;;;;;
115RIPROJ;CONV ET PROJET RI;GPEDFUDS;Groupe 115 Relations internationales;Exécution;Gestion et montage des conventions et projets internationaux;;;;;;
;;;;;;;;;;;
115SERV;SERVICE INTERIEUR;GPEDFUDS;Groupe 115 Logistique;Exécution;Service intérieur (accueil, courrier, affranchissement,….);;;;;;
115REPR;REPROG IMPRI CONC GRAPH;GPEDFUDS;Groupe 115 Logistique;Exécution;Reprographie, imprimerie et conception graphique;;;;;;
;;;;;;;;;;;
201;Aides directes;LOLF_CUMUL;Groupe DF 201 Aides Directes;Budget;;;;;;;
201ADM;ADM SERVICES VIE ETUD;GPEDFUDS;Groupe DF 201 Aides Directes;Ne pas utiliser;;;;;;;
201AUT;AUTRES AIDES DIRECT;GPEDFUDS;Groupe DF 201 Aides Directes;Exécution;Aides directes en faveur des étudiants (autres que dans le domaine culturel) : bourses sur critères sociaux, bourses CUS… (financement direct nécessitant une décision);;;;;;
201CULT;AIDES DIRECTES CULTU;GPEDFUDS;Groupe DF 201 Aides Directes;Exécution;Aides directes en faveur des étudiants dans le domaine culturel (financement direct nécessitant une décision);;;;;;
202;Aides indirectes;LOLF_CUMUL;Groupe DF 202 Aides Indirectes;Budget;;;;;;;
202ADM;ADM SERVICES VIE ETUD;GPEDFUDS;Groupe DF 202 Aides Indirectes;Ne pas utiliser;;;;;;;
202AUT;AUTRES AIDES IND;GPEDFUDS;Groupe DF 202 Aides Indirectes;Exécution;Aides indirectes en faveur des étudiants (autres que dans le domaine culturel) : logement, restauration, transport, ;;;;;;
202CULT;AIDES IND CULTU;GPEDFUDS;Groupe DF 202 Aides Indirectes;Exécution;Aides indirectes en faveur des étudiants dans le domaine culturel : financement de la carte culture;;;;;;
203;Santé des étudiants et activités associatives, culturelles et sportives;LOLF_CUMUL;Groupe DF 203 Santé des étudiants;Budget;;;;;;;
203ADM;ADM SERVICES SANTE SPORT / VIE ETUD;GPEDFUDS;Groupe DF 203 Santé des étudiants;Exécution ;Activités en faveur des étudiants (notamment activités de la Mission Vie Etudiante et subventions versées aux associations étudiantes);;;;;;
203HAND;FAV INSERT ETUD HAND;GPEDFUDS;Groupe DF 203 Santé des étudiants;Exécution ;Activités en faveur des l'insertion des étudiants en situation de handicap;;;;;;
203MED;MED PREVENTIVE ETUD;GPEDFUDS;Groupe DF 203 Santé des étudiants;Exécution ;Santé des étudiants, actions sociales et médico-sociales (notamment activités assurées par le SUMPS);;;;;;
203SPORT;SPORT;GPEDFUDS;Groupe DF 203 Santé des étudiants;Exécution ;Activités sportives en faveur des étudiants (notamment activités assurées par le SUAPS);;;;;;
DZOP;DEP POUR ORDRE;GPEDFUDS;Groupe DF Dépenses non décaissables;Exécution et budget;Dépenses non décaissables pour ordre : valeur nette comptable des éléments d'actif cédés (675), dotations aux amortissements (6811), dotations aux provisions (6815)…;;;;;;
DZPI;DEP PREST INTERNES;GPEDFUDS;Groupe DF Dépenses non décaissables;Exécution et budget;Dépenses non décaissables internes : prestations internes et flux financiers (ex DZFF);;;;;;
DZREGU;DEP REGULARISATIONS INTERNES;GPEDFUDS;Groupe DF Dépenses non décaissables;Exécution et budget;Dépenses non décaissables correspondant à des opérations de régularisation (ex annulation de titres de recettes sur exercices antérieurs);;;;;;
204;Pil & anim des prog;LOLF_CUMUL;Groupe DF 204 Pilotage et animation;Ne pas utiliser;;;;;;;
DZ1;0pé non déc 150(Dép);LOLF_CUMUL;;Ne pas utiliser;;;;;;;
DZ2;0pé non déc 231(Dép);LOLF_CUMUL;;Ne pas utiliser;;;;;;;
RENC;REC ENCAISSABLES;GPEDFUDS;Groupe DF Recettes encaissables;Exécution et budget;Ensemble des recettes encaissables;;;;;;
RZOP;REC POUR ORDRE;GPEDFUDS;Groupe DF Recettes non encaissables;Exécution et budget;Recettes non encaissables pour ordre : neutralisation de l'amortissement (776), reprise des subventions d'équipement (777), reprises de provisions (7815)…;;;;;;
RZPI;REC PRESTATIONS INTERNES;GPEDFUDS;Groupe DF Recettes non encaissables;Exécution et budget;Recettes non encaissables internes : prestations internes et flux financiers (ex RZFF);;;;;;
RZREGU;REC REGULARISATIONS INTERNES;GPEDFUDS;Groupe DF Recettes non encaissables;Exécution et budget;Recettes non encaissables correspondant à des opérations de régularisation (ex annulation de dépenses sur exercices antérieurs);;;;;;
RZ1;0pé non déc 150(Rec);GPEDFUDS;Groupe DF Recettes non encaissables;Ne pas utiliser;;;;;;;
RZ2;0pé non déc 231(Rec);GPEDFUDS;Groupe DF Recettes non encaissables;Ne pas utiliser;;;;;;;

