Groupe1;Groupe2;Perimetre;CFParent;CF;Label;Societe
Composantes;ODO;1010;ODO4;ODO4DU8;ODO-DU OCCLUS FONCT;1010
Composantes;ODO;1010;ODO;ODO5ND2;ODO-FORUM DENT;1010
Recherche;MISH;1010;MISH;P7R10MISH;PAIE RP MISHA 3227;1010
Recherche;CDPF;1010;CDPF;P7R11CDPF; PAIE RP EA 1351;1010
Recherche;CEIE;1010;CEIE;P7R11CEIE; PAIE RP CEIE 3994;1010
Recherche;DRES;1010;DRES;P7R11DRES; PAIE RP DRES 7354;1010
Recherche;EUMU;1010;EUMU;P7R11EUMU; PAIE RP FR 3241;1010
Recherche;IRCM;1010;RCH;IRCM;IRCM 3399;1010
Recherche;IRCM;1010;IRCM;P7R11IRCM;PAIE RP IRCM 3399;1010
Recherche;LRCE;1010;RCH;LRCE;EA 4375;1010
Recherche;LRCE;1010;LRCE;P7R11LRCE;PAIE RP EA 4375;1010
Recherche;SAGE;1010;SAGE;P7R11SAGE; PAIE RP SAGE 7363;1010
Recherche;DYNA;1010;DYNA;P7R12DYNA;PAIE RP DYNA 7367;1010
Recherche;BETA;1010;BETA;P7R13BETA;PAIE RP BETA 7522;1010
Recherche;HUMA;1010;HUMA;P7R13HUMA; PAIE RP HUM 1347;1010
Recherche;LARG;1010;LARG;P7R13LARG; PAIE RP LARGE 2364;1010
Recherche;AHME;1010;AHME;P7R14AHME; PAIE RP AHME 7044;1010
Recherche;ARCH;1010;ARCH;P7R14ARCH;PAIE RP ARCH 3400;1010
Recherche;LIVE;1010;LIVE;P7R14LIVE; PAIE RP LIVE 4382;1010
Recherche;LISE;1010;LISE;P7R15LISE; PAIE RP EA 2310;1010
Recherche;LNCA;1010;LNCA;P7R15LNCA; PAIE RP LINC 3289;1010
Recherche;LPCO;1010;LPCO;P7R15LPCO; PAIE RP LPC 4440;1010
Recherche;SULI;1010;SULI;P7R15SULI;PAIE RP URP 3071;1010
Recherche;CARR;1010;CARR;P7R16CARR; PAIE RP CARRA 3094;1010
Recherche;CHER;1010;CHER;P7R16CHER; PAIE RP CHER 4376;1010
Recherche;CLIT;1010;CLIT;P7R16CLIT; PAIE RP CL 1337;1010
Recherche;EGER;1010;EGER;P7R16EGER; PAIE RP EG 1341;1010
Recherche;GEOS;1010;GEOS;P7R16GEOS; PAIE RP GEO 1340;1010
Recherche;LILP;1010;LILP;P7R16LILP;PAIE RP LILPA 1339;1010
Recherche;SEAR;1010;SEAR;P7R16SEAR; PAIE RP SEAR 2325;1010
Recherche;PHAC;1010;PHAC;P7R17PHAC;PAIE RP PHAC 2326;1010
Recherche;TCSR;1010;RCH;TCSR;TCSR 4377;1010
Recherche;TCSR;1010;TCSR;P7R17TCSR;PAIE RP TCSR 4377;1010
Recherche;TPRO;1010;TPRO;P7R17TPRO;PAIE RP TP 4378;1010
Recherche;ACCR;1010;ACCR;P7R18ACCR;PAIE RP ACCRA 3402;1010
Recherche;IRMA;1010;IRMA;P7R21IRMA; PAIE RP IRMA 7501;1010
Recherche;ICUB;1010;ICUB;P7R22ICUB; PAIE RP ICUBE 7357;1010
Recherche;EOST;1010;EOST;P7R31EOST; PAIE RP EOST 830;1010
Recherche;IPGS;1010;IPGS;P7R31IPGS; PAIE RP IPGS 7516;1010
Recherche;LHYG;1010;LHYG;P7R31LHYG; PAIE RP LHYG 7517;1010
Recherche;OBAS;1010;OBAS;P7R31OBAS;PAIE RP OBS 7550;1010
Recherche;CHIM;1010;CHIM;P7R32CHIM; PAIE RP CHM 7177;1010
Recherche;CHSC;1010;CHSC;P7R32CHSC;PAIE RP PLF CHM;1010
Recherche;CMCX;1010;CMCX;P7R32CMCX; PAIE RP LTMS 7140;1010
Recherche;ICPE;1010;ICPE;P7R32ICPE; PAIE RP ICPEES 7515;1010
Recherche;IPCM;1010;IPCM;P7R32IPCM;PAIE RP IPCMS 7504;1010
Recherche;IPHC;1010;IPHC;P7R32IPHC; PAIE RP IPHC 7178;1010
Recherche;ISIS;1010;ISIS;P7R32ISIS;PAIE RP ISIS 7006;1010
Recherche;LDCM;1010;LDCM;P7R32LDCM; PAIE RP LCM 7509;1010
Recherche;BSIC;1010;BSIC;P7R41BSIC;PAIE RP IREBS 7242;1010
Recherche;GMGM;1010;GMGM;P7R41GMGM;PAIE RP GMGM 7156;1010
Recherche;MCPN;1010;MCPN;P7R41MCPN;DEP PAIE RP MCP 1118;1010
Recherche;SVQV;1010;SVQV;P7R41SVQV;DEP PAIE RP SVQ 1131;1010
Recherche;BPPS;1010;BPPS;P7R42BPPS;DEP PAIE RP BPPS 949;1010
Recherche;CAMB;1010;CAMB;P7R42CAMB; PAIE RP CAMB 7199;1010
Recherche;DIAT;1010;DIAT;P7R42DIAT; PAIE RP DIAT 7294;1010
Recherche;DIHP;1010;DIHP;P7R42DIHP;PAIE RP DIHP 7292;1010
Recherche;IGBM;1010;IGBM;P7R42IGBM; PAIE RP IGBMC UM 41;1010
Recherche;IMVH;1010;IMVH;P7R42IMVH; PAIE RP IMVH S_1110;1010
Recherche;IRHM;1010;IRHM;P7R42IRHM;PAIE RP RHM 11109;1010
Recherche;LBPH;1010;LBPH;P7R42LBPH; PAIE RP LBP 7213;1010
Recherche;LITH;1010;LITH;P7R42LITH; PAIE RP LIT 7200;1010
